,v(A),r(AXII)(Å),r(AVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),tG,τ,μ,Lowest distortion
59,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.0793650793650793,0.26329983641442967,0.6884288181575071,0.32445568764358423,0.5460914241893549,0.45000000105000004,cubic
60,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.7936507936507939,0.26329983641442967,0.49800053713936654,0.033960180099020576,0.9179588992156065,0.9750000005250001,cubic
61,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.15873015873015883,0.26329983641442967,0.6737850770789846,0.07226728031170193,0.8292749020068069,0.8999999986000002,cubic
62,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.3492063492063493,0.26329983641442967,0.2453694462622944,0.5691160791601346,0.524331730551657,0.07500000192500011,rhombohedral
63,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.4126984126984128,0.26329983641442967,0.7432936323369561,0.1383428457874616,0.36965051162186846,0.7750000012250005,orthorhombic
64,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.11904761904761907,0.26329983641442967,0.5036676992927145,0.15190572416349557,0.3389037823870422,0.7500000017500001,cubic
65,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.2222222222222221,0.26329983641442967,0.4068646050763527,0.1383428457874616,0.7135059446310554,0.7750000012250005,cubic
66,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.4206349206349207,0.26329983641442967,0.01674736976001112,0.5173056447081517,0.0006325686549744081,0.15000000035000016,orthorhombic
67,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,1.0,0.26329983641442967,0.0,0.4836037101490853,0.5133862669450118,0.19999999930000012,cubic
68,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.09523809523809523,0.26329983641442967,0.6590672804491646,0.12489790291559189,0.4022373636095915,0.8000000007000003,cubic
69,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.0,0.26329983641442967,0.6440641104393934,0.16558809788465245,0.3099061849704229,0.7249999987750004,cubic
70,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.18253968253968256,0.26329983641442967,0.4014494862560887,0.3863132198181951,0.5241465429511694,0.34999999965000006,orthorhombic
71,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.015873015873015928,0.3886270243137151,0.7041940945794423,0.1207020316042291,0.7364526981748865,0.7249999987750004,cubic
72,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.5793650793650795,0.3886270243137151,0.3418656498580752,0.553322523743562,0.5414614100126575,0.024999999474999868,rhombohedral
73,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.15873015873015883,0.3886270243137151,0.3794158143487092,0.35385430558775033,0.5424808510486591,0.32500000017499997,orthorhombic
74,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.8730158730158732,0.3886270243137151,0.35473798834272596,0.4842128442542428,0.529372823113868,0.12500000087500007,orthorhombic
75,0.5,0.44897959183673486,0.36190476190476195,0.13636363636363635,0.8412698412698416,0.3886270243137151,0.058835153017328334,0.45066936864262797,0.5280100303662192,0.17499999982500003,orthorhombic
